club,clubLabel,venue,venueLabel,longitude,latitude,capacity
http://www.wikidata.org/entity/Q131499,S.L. Benfica,http://www.wikidata.org/entity/Q7875112,Estádio da Luz,-9.18472222,38.75277778,68100
http://www.wikidata.org/entity/Q7387215,S.L. Benfica,http://www.wikidata.org/entity/Q7875112,Estádio da Luz,-9.18472222,38.75277778,68100
http://www.wikidata.org/entity/Q7387220,S.L. Benfica,http://www.wikidata.org/entity/Q7875112,Estádio da Luz,-9.18472222,38.75277778,68100
http://www.wikidata.org/entity/Q7387221,S.L. Benfica B,http://www.wikidata.org/entity/Q7875112,Estádio da Luz,-9.18472222,38.75277778,68100
http://www.wikidata.org/entity/Q29108,FC Zenit Saint Petersburg,http://www.wikidata.org/entity/Q722970,Gazprom Arena,30.22053300,59.97295300,68000
http://www.wikidata.org/entity/Q1074673,Prayag United S.C.,http://www.wikidata.org/entity/Q787124,Vivekananda Yuba Bharati Krirangan,88.40916700,22.56888900,68000
http://www.wikidata.org/entity/Q1471031,Mohammedan Sporting Club,http://www.wikidata.org/entity/Q787124,Vivekananda Yuba Bharati Krirangan,88.40916700,22.56888900,68000
http://www.wikidata.org/entity/Q4901598,Bhawanipore F.C.,http://www.wikidata.org/entity/Q787124,Vivekananda Yuba Bharati Krirangan,88.40916700,22.56888900,68000
http://www.wikidata.org/entity/Q5545116,George Telegraph S.C.,http://www.wikidata.org/entity/Q787124,Vivekananda Yuba Bharati Krirangan,88.40916700,22.56888900,68000
http://www.wikidata.org/entity/Q6352592,Kalighat Milan Sangha F.C.,http://www.wikidata.org/entity/Q787124,Vivekananda Yuba Bharati Krirangan,88.40916700,22.56888900,68000
http://www.wikidata.org/entity/Q7124770,Indian Arrows,http://www.wikidata.org/entity/Q787124,Vivekananda Yuba Bharati Krirangan,88.40916700,22.56888900,68000
